renumbered,run,fileNum,bound status,ligand,receptor,lig_x,lig_y,lig_z,rec_x,rec_y,rec_z,formed_time,broken_time,lig_break_x,lig_break_y,lig_break_z,rec_break_x,rec_break_y,rec_break_z,delta
1,36,1,1,145,60,464.767306,649.704413,29.070798,438.565293,637.152419,0.0,0.1766955379099999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-9e-06
2,87,1,1,71,69,411.010335,655.9681410000001,24.432448,385.982523,634.38402,0.0,0.4148304003599999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06
3,180,1,1,24,60,235.7673,147.593557,37.696365,220.441908,153.366432,0.0,0.66246169709,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4e-06
4,134,1,1,76,5,-722.624378,-136.142276,34.653447,-702.81593,-145.938922,0.0,0.6993572950399999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-06
5,115,1,1,133,61,-267.438687,-533.071343,35.373126,-247.541724,-526.585709,0.0,0.73577331301,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,8e-06
6,135,1,1,105,37,458.439355,820.078327,24.241594,488.29106500000006,834.584622,0.0,0.7525929555399999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5e-05
7,83,1,1,33,72,-667.8696610000001,654.0791469999999,36.848008,-685.335905,659.213767,0.0,0.81166348787,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4e-06
8,88,1,1,135,88,-413.628523,-132.498983,30.56111,-434.321076,-150.583418,0.0,1.1447173455,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
9,189,1,1,42,55,249.575448,825.0631940000001,30.685421,227.003676,809.6318200000001,0.0,1.3061244899,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4e-05
10,56,1,1,84,71,-354.992209,-485.839652,28.3782,-325.262464,-486.015278,0.0,1.6254983213,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05
11,108,1,1,91,30,23.007368,730.081982,35.083581,7.052617999999999,744.357928,0.0,1.7401980378,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3e-05
12,102,1,1,34,28,-537.052855,-230.178974,22.827247,-562.807922,-207.711057,0.0,1.7504570656,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8e-05
13,103,1,1,41,55,4.901368,-498.904062,37.085575,-4.261544000000001,-514.067025,0.0,1.7509407066999998,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2e-05
14,91,1,1,78,32,-547.120147,242.644346,40.545783,-542.049226,238.22464900000003,0.0,2.0361720953,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8e-05
15,194,1,1,41,47,-271.585619,729.6567660000001,32.039177,-269.65418700000004,755.3272440000001,0.0,2.0633431245,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3e-05
16,189,2,1,144,55,218.451465,777.649362,24.355585,227.003676,809.6318200000001,0.0,2.8867076116000003,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-05
17,71,1,1,24,31,641.793052,-673.7365179999999,37.293381,629.592299,-685.9657639999999,0.0,2.902484198,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1e-05
18,79,1,1,39,87,335.84041,-622.687605,37.66982,352.260662,-623.441047,0.0,3.0406685264,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8000000000000003e-05
19,49,1,1,100,38,-107.055027,146.109249,24.584122,-112.019402,178.669724,0.0,3.1745318995,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7e-05
20,146,1,1,47,8,818.754638,-743.170802,32.599535,810.98383,-719.377968,0.0,3.4149410694,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,5e-05
21,9,1,1,146,65,57.690923,434.066527,39.816085,60.15109,424.175321,0.0,3.712488565,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2e-05
22,83,2,1,113,20,552.620576,800.962075,36.803558,537.691947,811.537525,0.0,3.9526003878,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.9e-05
23,161,1,1,143,91,583.322119,209.677979,20.955529,567.080637,241.083252,0.0,4.1263537352,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4e-05
24,104,1,1,19,49,133.995818,158.94411499999998,30.832641,155.96017,174.94798799999998,0.0,4.1276585413,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9e-05
25,129,1,1,112,79,-186.096649,572.62512,20.616293,-197.180931,538.841772,0.0,4.4048821933,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1e-05
26,33,1,1,135,75,-259.682831,370.158554,39.897507,-266.561831,377.235309,0.0,4.5047349865,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7e-05
27,156,1,1,82,84,-675.634933,152.363043,17.388367000000002,-638.956692,145.91624299999998,0.0,4.7877123539,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2e-06
28,17,1,1,121,22,381.429042,432.162995,18.516928,395.055593,398.094717,0.0,4.9976065913,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5e-05
29,26,1,1,80,56,-181.085352,460.791555,38.289355,-185.49985,475.062033,0.0,5.0097167503,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2e-05
30,135,2,1,49,91,696.2410150000001,464.67190199999993,24.101181,666.4831379999999,479.598841,0.0,5.041794297,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1e-05
31,54,1,1,131,73,-660.8692980000001,-254.771014,26.836166,-677.413669,-281.139794,0.0,5.150952586,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7e-05
32,57,1,1,35,35,-143.703701,718.896561,29.843712,-119.568095,704.198425,0.0,5.2694314168,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2e-06
33,5,1,1,21,23,-210.130132,-314.355084,22.246967,-180.175099,-297.122049,0.0,5.3487338714,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2e-05
34,147,1,1,12,62,68.673958,-691.030784,34.10072,78.521479,-670.309391,0.0,5.4698840844,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3e-05
35,20,1,1,7,52,-159.17740700000002,663.520261,37.549991,-158.273001,646.835189,0.0,5.5350564768,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8e-05
36,37,1,1,19,42,371.878625,-760.593883,37.853483,376.552647,-745.281214,0.0,5.609807332999999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-06
37,164,1,1,6,81,548.0871099999999,-403.541234,40.012459,542.734254,-411.25877,0.0,5.6141793693,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-06
38,106,1,1,113,77,-25.752947,72.540162,37.68957,-13.414829,61.747782,0.0,5.9047899624,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2e-05
39,166,1,1,146,31,-392.891735,-372.269344,19.040035,-357.27497,-364.644779,0.0,6.4097050291,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05
40,193,1,1,22,1,192.226077,-713.730492,39.750609,197.94665,-722.469688,0.0,7.3406777462,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.000000000000001e-06
41,158,1,1,64,36,248.26241800000005,-895.5060269999999,40.391951,241.366116,-892.321119,0.0,8.5779198315,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8000000000000003e-05
42,143,1,1,68,20,-584.968496,-63.954209,39.648046,-575.212935,-68.651885,0.0,8.746327940499999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4e-05
43,97,1,1,34,58,363.783879,379.093233,31.573006,385.636137,364.436008,0.0,9.0124569855,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06
44,196,1,1,69,82,267.326832,141.510284,26.0242,235.663444,138.447173,0.0,9.1216732445,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2e-05
45,114,1,1,78,40,791.355863,114.441814,28.609008000000003,771.456554,136.230703,0.0,9.3475949852,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3e-05
46,190,1,1,69,47,-779.685129,-579.849772,28.763321,-757.5588280000001,-560.554455,0.0,9.5565751085,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3e-05
47,193,2,1,141,66,-36.262038,511.043813,36.814313,-44.583399,527.3126030000001,0.0,9.5816731766,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7e-05
48,144,1,1,119,37,582.053158,-593.92812,18.832811,546.395793,-601.870671,0.0,9.5839815208,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.1e-05
49,35,1,1,13,26,-133.327637,407.899907,26.629301,-146.345521,379.428378,0.0,10.226509884,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5e-05
50,150,1,1,55,38,441.733998,123.622616,36.081055,460.705028,128.86349199999998,0.0,10.376934306,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-9e-06
51,141,1,1,57,84,-473.200378,362.868078,29.730121,-500.52807300000006,370.518444,0.0,10.740852907,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4e-05
52,72,1,1,112,73,-642.489088,768.506879,16.262660999999998,-607.8481019999999,753.515586,0.0,10.925925289,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2e-05
53,44,1,1,115,44,-667.825678,-807.796866,40.074085,-665.629777,-798.939367,0.0,10.940295903,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-6e-06
54,32,1,1,136,66,250.753302,398.868213,34.106472,269.867328,411.54156,0.0,11.09437727,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4e-05
55,8,1,1,11,62,450.628622,495.865564,27.415681,467.80923,521.21157,0.0,11.279396125,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5e-05
56,93,1,1,57,1,-403.65613,588.24366,40.24168,-409.570942,582.341891,0.0,11.602906751,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6e-05
57,95,1,1,19,45,-343.65642,-471.50455199999993,17.969304,-319.212439,-499.231905,0.0,11.656097798,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06
58,175,1,1,46,85,290.049926,-493.458037,40.733431,294.312515,-490.018535,0.0,11.674902477,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7e-05
59,145,1,1,35,8,-192.758668,-484.800072,21.276125,-158.75483899999998,-493.7595940000001,0.0,12.029692530999998,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8e-05
60,196,2,1,51,38,-65.950699,124.871187,39.984126,-75.44722800000001,124.328241,0.0,12.202556735,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1e-05
61,162,1,1,39,35,695.594606,-707.069969,30.491002,678.046821,-685.8195099999999,0.0,12.283282219,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4e-05
62,189,3,1,90,2,-235.558777,-104.463744,35.124877000000005,-236.871361,-83.162836,0.0,12.348170274,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8e-05
63,159,1,1,16,26,-476.492389,512.367222,37.391084,-493.052193,508.25752,0.0,12.356918117,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1e-06
64,177,1,1,83,6,295.447691,-825.0841019999999,16.655735999999997,321.566735,-852.095098,0.0,12.42338307,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4e-05
65,171,1,1,47,37,-735.776013,397.602444,39.926913,-739.039088,406.789521,0.0,12.68342839,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9e-05
66,28,1,1,91,21,-774.446343,-725.154032,36.316707,-757.27941,-733.849007,0.0,12.938944541,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-8e-06
67,50,1,1,89,61,433.525268,-139.509251,40.35288,440.466795,-135.94933400000002,0.0,12.953346407,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3e-05
68,70,1,1,70,34,76.38476899999999,115.345441,22.190285,108.208925,101.77989,0.0,13.035604303,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2e-06
69,53,1,1,98,13,28.725367,683.883646,29.353886,14.321808,708.785374,0.0,13.064638753,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1e-05
70,169,1,1,113,76,715.711672,-709.361455,33.422295,733.290982,-693.140341,0.0,13.597837105999998,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.3e-05
71,158,2,1,112,30,-559.117033,420.238079,29.844214,-536.804124,437.577756,0.0,13.751593254,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1e-05
72,73,1,1,106,27,698.896801,-324.681761,33.066269,714.96222,-343.059249,0.0,13.851365789,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5e-05
73,192,1,1,119,20,-582.246983,115.669241,31.979199,-607.562552,110.603348,0.0,14.092038332,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-06
74,166,2,1,15,89,82.111426,-90.231585,21.202854,103.073434,-61.943067000000006,0.0,14.473422917,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6e-05
75,183,1,1,44,58,470.582461,842.821392,35.681114,489.760717,849.7686970000001,0.0,14.486352523,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-05
76,130,1,1,28,67,104.82605,395.791058,32.973636,89.66958000000001,376.497807,0.0,14.543612783,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4e-05
77,123,1,1,130,76,-601.579671,144.329456,38.681884,-615.1709480000001,141.466003,0.0,14.584473982,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-06
