run,fileNum,bound status,ligand,receptor,lig_x,lig_y,lig_z,rec_x,rec_y,rec_z,formed_time,broken_time,lig_break_x,lig_break_y,lig_break_z,rec_break_x,rec_break_y,rec_break_z,delta
1,1,1,137,89,824.423955,38.366925,26.608876000000002,854.572062,29.865790000000004,0.0,26.544912095999997,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1e-06
1,2,1,56,40,440.246018,-163.15713200000002,39.440447999999996,449.853209,-156.725846,0.0,34.138250998000004,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8e-05
2,1,1,54,39,-585.037637,553.790107,40.022484000000006,-594.331499,554.806756,0.0,27.513707937,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6e-05
2,2,1,48,17,58.539381999999996,-182.557783,31.91432,71.563135,-204.942288,0.0,35.483098008,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4e-05
4,1,1,64,20,584.525487,316.74623199999996,30.015717,569.714209,292.894768,0.0,26.398660983000003,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-6e-06
5,1,1,21,23,-210.13013199999997,-314.355084,22.246967,-180.175099,-297.122049,0.0,5.3487338713999995,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2e-05
5,2,1,20,75,-483.79527800000005,494.767159,33.241125,-459.95987,498.780904,0.0,48.742136216999995,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-9e-06
8,1,1,11,62,450.62862199999995,495.86556399999995,27.415681,467.80922999999996,521.21157,0.0,11.279396125,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5e-05
8,2,1,96,6,87.532645,558.989116,31.939177,112.17158799999999,566.864265,0.0,47.219358623999995,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.2e-05
9,1,1,146,65,57.690923,434.06652699999995,39.816085,60.15109,424.175321,0.0,3.712488565,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2e-05
9,2,1,73,63,748.172951,-373.150739,30.965564,730.2504799999999,-352.923849,0.0,56.761228356000004,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2e-05
10,1,1,78,46,-414.147503,-729.350696,27.731999,-398.333853,-755.236496,0.0,48.366709486000005,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1e-06
11,1,1,22,79,484.301463,-433.13375099999996,22.632353,479.25884,-467.06837300000007,0.0,40.13846696,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1,1,3,49,382.800783,-138.815372,27.240769,386.730465,-108.291496,0.0,46.693611238,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3000000000000001e-05
15,1,1,96,24,165.039353,262.64381000000003,36.546637,170.012773,280.777102,0.0,23.167302408,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6000000000000002e-05
15,2,1,120,43,-269.60805600000003,-36.00497,35.635059999999996,-263.835839,-55.652712,0.0,32.139422241,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3e-06
15,3,1,50,72,-97.252573,165.285498,40.221521,-93.218924,157.857908,0.0,40.980954779,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06
16,1,1,22,82,363.7047,632.57352,38.156943,377.59644,626.227084,0.0,21.451990629,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1e-06
16,2,1,3,80,382.31182,-180.797548,21.952298000000003,396.81845699999997,-149.22437299999999,0.0,46.96747430600001,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6e-05
17,1,1,121,22,381.429042,432.162995,18.516928,395.05559300000004,398.094717,0.0,4.9976065913,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5e-05
19,1,1,73,80,435.836358,353.736514,39.443445000000004,429.87421900000004,363.629923,0.0,15.873377422,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4e-05
19,2,1,145,77,-667.679727,-810.673079,35.495352000000004,-656.4009219999999,-828.0535269999999,0.0,38.408213662,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8e-05
19,3,1,118,50,-482.162498,-282.397279,38.885838,-493.27045400000003,-275.068223,0.0,40.888589184000004,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06
20,1,1,7,52,-159.17740700000002,663.520261,37.549991,-158.273001,646.835189,0.0,5.5350564767999995,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8e-05
21,1,1,65,19,216.238648,-170.332154,39.552844,221.320502,-160.384491,0.0,29.588692258000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6e-05
21,2,1,11,55,247.23205499999997,-474.610104,22.381107999999998,248.661104,-440.168066,0.0,58.5232415,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06
22,1,1,115,30,-72.223799,720.249105,35.961644,-87.178485,733.376588,0.0,24.314860280999998,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9e-05
23,1,1,87,4,-430.53827800000005,25.242291,38.651907,-438.419525,36.780336,0.0,57.65086981100001,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,5e-06
25,1,1,112,76,-251.186948,-90.942224,31.77688,-252.335933,-116.982996,0.0,44.758222903000004,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6000000000000002e-05
25,2,1,1,42,-777.338496,-12.237611,39.527412,-787.051909,-6.541328,0.0,50.50940176,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2000000000000004e-05
26,1,1,80,56,-181.085352,460.79155499999996,38.289355,-185.49985,475.062033,0.0,5.0097167503,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2e-05
28,1,1,91,21,-774.446343,-725.154032,36.316707,-757.27941,-733.849007,0.0,12.938944541,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-8e-06
28,2,1,102,13,80.604015,718.530017,32.940207,100.837988,732.485022,0.0,19.312420150999998,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7e-05
28,3,1,46,42,149.23446299999998,742.6079599999999,33.124466,143.553831,766.266159,0.0,40.208207972,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-06
29,1,1,147,85,358.07367400000004,677.817963,36.586457,344.508086,664.910017,0.0,39.396994090999996,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1e-05
29,2,1,27,35,820.02859,342.45216899999997,36.261851,801.419908,337.16044300000004,0.0,40.749766965,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3e-05
30,1,1,133,35,212.774117,-503.111146,33.118716,226.54018,-523.182405,0.0,39.415780928000004,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-9e-06
30,2,1,58,90,-270.789952,-345.56230899999997,31.570240000000002,-250.233928,-361.99338,0.0,42.050150853000005,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-06
31,1,1,92,8,466.83109299999995,523.138109,37.855276,452.017687,517.075925,0.0,52.678986456000004,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2e-05
31,2,1,16,50,535.913277,-9.083158000000001,28.643373999999998,565.292712,-6.713052,0.0,53.953091801999996,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8e-05
32,1,1,136,66,250.753302,398.86821299999997,34.106472,269.867328,411.54156,0.0,11.09437727,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4000000000000001e-05
32,2,1,5,19,466.62443099999996,197.712989,33.13051,451.653719,178.543877,0.0,18.71027971,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7000000000000002e-05
32,3,1,89,12,290.408438,393.867728,27.648355,264.818182,410.296789,0.0,37.953026704,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8e-05
33,1,1,135,75,-259.682831,370.158554,39.897507,-266.561831,377.235309,0.0,4.5047349865,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7000000000000002e-05
34,1,1,124,39,281.627739,-412.972335,15.668151000000002,243.63210299999997,-412.753011,0.0,48.015354087,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1e-05
35,1,1,13,26,-133.327637,407.899907,26.629301,-146.345521,379.42837799999995,0.0,10.226509884,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5e-05
35,2,1,41,30,-366.243595,156.358632,21.799734,-346.587942,127.58991599999999,0.0,31.916395243,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5e-05
36,1,1,145,60,464.76730599999996,649.704413,29.070797999999996,438.565293,637.152419,0.0,0.17669553790999998,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-9e-06
37,1,1,19,42,371.878625,-760.593883,37.853483000000004,376.55264700000004,-745.281214,0.0,5.609807332999999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-06
37,2,1,144,10,472.15082699999994,-637.003339,37.872904,473.232004,-621.0758400000001,0.0,33.559378409000004,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3000000000000001e-05
37,3,1,97,54,147.335342,-395.38343399999997,41.07801,147.130428,-394.053956,0.0,40.592881465,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8999999999999997e-05
38,1,1,109,2,531.910125,-795.988199,34.060957,521.0485639999999,-775.712898,0.0,34.301482496999995,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06
38,2,1,33,16,-84.888087,-874.723098,35.834538,-104.00206899999999,-868.418244,0.0,38.900025419,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-06
39,1,1,86,81,-244.265348,661.7306269999999,40.195937,-251.181652,656.66485,0.0,16.807020452,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,9e-06
39,2,1,21,48,-596.035434,562.157143,27.332874,-586.31948,591.272806,0.0,23.080088332,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8999999999999997e-05
39,3,1,55,2,-60.81369399999999,-814.677828,32.400368,-76.328772,-794.710075,0.0,39.130943284000004,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2e-05
39,4,1,147,1,-413.718438,271.855935,37.869895,-423.675875,259.368654,0.0,44.435759964,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-05
39,5,1,102,87,220.40740099999996,175.070788,26.440137,206.63164,203.361409,0.0,56.196831041,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-05
40,1,1,100,57,201.957906,-107.59226899999999,26.851762,205.894303,-76.726424,0.0,17.622879102,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4e-05
40,2,1,42,9,-735.200144,458.15047400000003,27.309051,-750.888801,431.744142,0.0,33.479137668,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1e-05
41,1,1,100,70,116.17511699999999,-172.382234,39.896485999999996,114.11481299999998,-162.72644,0.0,35.129555402,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4999999999999999e-05
41,2,1,148,49,-16.056978,344.87505899999996,36.054678,-34.241392,337.220248,0.0,41.279032008,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4000000000000001e-05
41,3,1,51,70,129.689921,-164.493449,37.993548,114.11481299999998,-162.72644,0.0,56.369346087,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3e-05
41,4,1,143,91,-314.83532599999995,122.940372,34.874238,-298.023022,136.736886,0.0,57.432957228999996,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2e-06
44,1,1,115,44,-667.825678,-807.796866,40.074085,-665.629777,-798.939367,0.0,10.940295902999999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-6e-06
44,2,1,49,42,-642.4663559999999,282.04246800000004,28.719217999999998,-616.3015389999999,268.63286,0.0,16.005088016,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4999999999999999e-05
44,3,1,141,33,-172.234121,-1.435216,37.5317,-177.057275,14.605923,0.0,40.902853557,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.000000000000001e-06
45,1,1,102,65,-485.50663099999997,490.475857,29.306571999999996,-512.542872,500.444541,0.0,25.379299561999996,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2e-05
